,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,"[0.29256853966336116, 0.79511515933603, 2.160102381923858, 5.862589504381035, 15.868749541479609, 42.64530382011838, 112.44674530401707, 282.6301281144302, 637.6601100682597]",,,"[0.631780229049524, 1.7169926679881544, 4.664582115331439, 12.659830561970013, 34.267396732337744, 92.08939500590134, 242.82047066913196, 610.3189607532618, 1376.980077414427]",,,,,,,,,,
1,"[2922.264985660365, 3203.8313925439797, 3313.9997435953014, 3350.7375046610086, 3350.7262113019706, 3313.9547903452813, 3203.713100673152, 2921.9963795891254, 2284.897444131751]",,"[2924.0054021133797, 3207.1691394805102, 3321.0331881793627, 3367.290786798199, 3391.29765156618, 3408.5289050236133, 3386.3577906656633]",,,"[2923.860734191293, 3206.7809595852186, 3320.0151919545256, 3364.793154717066, 3386.4007208872677, 3407.4400048452353, 3447.8844375861527, 3533.5479147153383, 3662.841489847508]",,,,,,,,,
2,,"[5046.090347322834, 5527.6536697991005, 5704.3897789138155, 5731.136893529848, 5634.125315526908, 5326.293904256165, 4583.737958769074]",,[4338.0362029659545],,,"[5050.638274333185, 5538.619262262386, 5732.130134523667, 5803.773659846838, 5825.66398127679, 5820.698983051568, 5782.877805306994, 5668.303783196188, 5343.918741565331]",,,,,,,,
3,,,[4499.036202966049],,,,,,,,,,,,
4,"[6311.533815033032, 6919.867177046003, 7157.904773728294, 7237.289384921922, 7237.278091562884, 7157.859820478274, 6919.748885175176, 6311.265208961791, 4935.185517846799]",,,,,"[6313.447511932612, 6923.680961405014, 7166.268994985016, 7257.7266097625115, 7290.277013825638, 7298.2722622725505, 7290.277013825633, 7257.726609762528, 7166.268994985041, 6923.680961405011, 6313.44751193283]",,,"[6313.145728253077, 6922.860674954763, 7164.039569794353, 7251.6689486119285, 7273.829364618675, 7253.701228483475, 7170.13301147412, 6938.4323268726175, 6348.36088976315]",,,,"[6313.497262315042, 6923.816195922646, 7166.636592800172, 7258.725787223738, 7292.99263871371, 7305.650987157238, 7310.311540456341, 7312.01758168009, 7312.619592895102, 7312.771110134525, 7312.636663799725, 7312.070254633007, 7310.456946995656, 7306.046473817716, 7294.063445917257, 7261.603562811981, 7174.224725884724, 6942.888661009322, 6356.527888837872]",,
5,,"[6311.8263835724765, 6920.662292205719, 7160.064876110772, 7243.151974426673, 7253.146841103883, 7200.505124298522, 7032.195630478832, 6593.895337075814, 5572.845627915307]",,,"[6312.48337483845, 6922.447928287123, 7164.9168823396985, 7256.327406594275, 7288.860735498381, 7296.851763717778, 7288.860735498387, 7256.327406594185, 7164.916882339585, 6922.447928287103, 6312.483374838217]",,"[6310.8418310965335, 6916.60083505519, 7147.0442304217095, 7205.62288375179, 7149.77334291268, 6924.421765079157, 6328.799865898239]",,,"[6313.149306695786, 6922.870400108622, 7164.065990278947, 7251.740654683546, 7274.023457295422, 7254.222828572393, 7171.508361796209, 6941.88921161122, 6356.1601909828305]",,,,,
6,,,"[6394.644190677516, 7011.809849959389, 7255.322011271837, 7342.142231539283, 7359.41699111507, 7325.21690833441, 7204.574340488247, 6882.125329025386, 6101.363723445366]",,,"[6392.33951133877, 7005.548351201621, 7238.325593727647, 7296.118152338952, 7235.596481236695, 6997.727421177685, 6374.3814765369525]",,[5399.903731996531],,,"[6393.448001430452, 7007.17316160556, 7240.738150645425, 7300.367086366033, 7244.526321714986, 7018.029079400023, 6418.37482585674]",,,,
7,,,,,,,[5429.903731996531],,,,,"[6468.579464071371, 7089.425172477272, 7325.474875874586, 7385.103811595197, 7326.77833258669, 7093.1605420409605, 6477.156435916986]",,,
8,,,,,"[6473.676769015003, 7098.666995385716, 7345.745623194609, 7435.157762706838, 7456.754035516742, 7433.125482835278, 7339.652181514827, 7083.095343467792, 6438.461607504963]",,,,,"[6474.983469723911, 7100.831146291703, 7349.6282840416025, 7443.432074345803, 7476.832006343683, 7485.077106304588, 7476.999678535837, 7443.943949280915, 7351.000055921046, 7104.28671449214, 6482.782286602395]",,,,,
9,,,,,,"[6509.431150990928, 7137.868536946365, 7386.296094592969, 7476.158128122378, 7497.754400932452, 7473.675954233534, 7378.853723075686, 7118.849725443777, 6466.420266703884]",,,"[6509.778125245111, 7138.811641792891, 7388.859209990275, 7483.121637995454, 7516.655471695862, 7524.851065842109, 7516.487799503709, 7482.609763060343, 7387.487438110837, 7135.356073592449, 6501.979308366625]",,"[6507.992690374812, 7132.573768344398, 7369.926928453812, 7429.55586417443, 7369.926928453812, 7132.5737683444, 6507.992690374813]",,,"[6507.9936014260065, 7132.5762409675535, 7369.933621304736, 7429.573850384392, 7369.974354326991, 7132.692971266423, 6508.261631796183]",
10,,,,,,,"[6506.94524071307, 7131.114623692001, 7367.962792547936, 7426.512006214818, 7364.174621478374, 7120.258705897536, 6482.018416286798]",,,"[6507.029968474199, 7131.3445776455765, 7368.585227683889, 7428.184723741292, 7368.585227683889, 7131.344577645572, 6507.0299684742]",,[5480.02140966779],,,"[6507.9936014260065, 7132.576240967555, 7369.933621304736, 7429.573850384392, 7369.97435432699, 7132.692971266421, 6508.261631796183]"
11,,,,,,,,"[6507.000814835971, 7131.265453704557, 7368.371056454306, 7427.6091650225035, 7367.067599742203, 7127.530084140868, 6498.423842990359]",,,[5479.52140966779],,,"[6510.787124695126, 7140.166622342625, 7390.542802035808, 7485.421835824055, 7520.520465952473, 7532.924604814827, 7535.964882133139, 7532.926742087853, 7520.527035408822, 7485.439776636149, 7390.590211207561, 7140.2858191204705, 6511.056063856171]",
12,,,,,"[6509.829886434668, 7138.952342182481, 7389.24166507683, 7484.161197946257, 7519.480839796982, 7532.527898781518, 7537.331159649781, 7539.088347503329, 7539.705421814757, 7539.85226962598, 7539.688350910063, 7539.035674550454, 7537.1857531104815, 7532.132412121032, 7518.410032593407, 7481.283422358011, 7381.653531992276, 7119.879877095777, 6466.799259911786]",,,,,,,,,[5480.29035108916],
13,,,,,,,,,,"[6508.261631796184, 7132.692971266423, 7369.97435432699, 7429.573850384393, 7369.933621304735, 7132.5762409675535, 6507.993601426007]",,"[6511.056063856172, 7140.285819120471, 7390.590211207561, 7485.43977663615, 7520.5270354088225, 7532.926742087853, 7535.9648821331375, 7532.924604814827, 7520.520465952473, 7485.421835824056, 7390.542802035806, 7140.166622342623, 6510.7871246951245]",[5480.29035108916],,"[6511.6478955429075, 7140.506879985794, 7389.191932196448, 7479.365845648641, 7501.652868488288, 7479.365845648641, 7389.191932196448, 7140.5068799857945, 6511.6478955429075]"
14,,,,,,,,,,,"[6508.261631796184, 7132.692971266421, 7369.97435432699, 7429.573850384392, 7369.933621304736, 7132.576240967556, 6507.9936014260065]",,,"[6510.683927240971, 7139.274305612616, 7387.841065952443, 7477.970026154615, 7500.245755635226, 7477.970026154616, 7387.841065952443, 7139.274305612617, 6510.683927240971]",
